code|en|de|sk
descriptions_published_stopped|All descriptions before the interruption were published.|Alle Beschreibungen vor der Unterbrechung wurden veröffentlicht.|Všetky popisy pred prerušením boli publikované.
to_homepage|To homepage|Zur Startseite|Na domovskú stránku
publishing_remaining_time_5+min|Publishing descriptions. {minutes} minutes and {seconds} seconds remaining.|Veröffentlichung der Beschreibungen. {minutes} Minuten und {seconds} Sekunden übrig.|Publikujem popisy. Zostáva {minutes} minút a {seconds} sekúnd.
publishing_remaining_time_4-2min|Publishing descriptions. {minutes} minutes and {seconds} seconds remaining.|Veröffentlichung der Beschreibungen. {minutes} Minuten und {seconds} Sekunden übrig.|Publikujem popisy. Zostávajú {minutes} minúty a {seconds} sekúnd.
publishing_remaining_time_1min|Publishing descriptions. {minutes} minute and {seconds} seconds remaining.|Veröffentlichung der Beschreibungen. {minutes} Minute und {seconds} Sekunden übrig.|Publikujem popisy. Zostáva {minutes} minúta a {seconds} sekúnd.
publishing_remaining_time_0min|Publishing descriptions. {seconds} seconds remaining.|Veröffentlichung der Beschreibungen. {seconds} Sekunden übrig.|Publikujem popisy. Zostáva {seconds} sekúnd.
login_failed_info|Login failed. Please try closing this tab and reopening the application.|Die Anmeldung ist fehlgeschlagen. Bitte versuchen Sie, diesen Tab zu schließen und die Anwendung neu zu öffnen.|Prihlásenie sa nepodarilo. Skúste zatvoriť túto kartu a otvoriť aplikáciu nanovo.
getting_data_table|Getting data and preparing table.|Datenabruf und Tabellenvorbereitung|Získavam dáta a pripravujem tabuľku.
suggesting_descriptions|Suggesting descriptions|Beschreibungen vorschlagen|Navrhujem popisy
session_timeout_message|You have been logged out due to inactivity. Please log in again.|Sie wurden aufgrund von Inaktivität abgemeldet. Bitte melden Sie sich erneut an.|Odhlásili sme vás kvôli nečinnosti. Prihláste sa znovu.
popular_publishing_descriptions|Step {current_step} of {all_steps}: Publishing descriptions|Schritt {current_step} von {all_steps}: Veröffentlichung der Beschreibungen|Krok {current_step} z {all_steps}: Publikujem popisy
logged_out_heading|You logged out|Sie haben sich abgemeldet|Odhlásili ste sa
logged_out_text|To log in again, refresh the tab.|Um sich wider anzumelden, laden Sie die Seite neu.|Ak sa chcete znovu prihlásiť, obnovte stránku.
page_without_wikidata_object|The page **{page_title}** ({page_URL}) does not have a Wikidata entry. It will not be included in the table.|Die Seite **{page_title}** ({page_URL}) hat keinen Wikidata-Datenobjekt. Sie wird nicht in die Tabelle aufgenommen.|Stránka **{page_title}** ({page_URL}) nemá položku Wikidata. V tabuľke nebude zahrnutá.
cateogry_article_search|Searching through all pages in the category|Durchsuchen von allen Seiten in der Kategorie|Prehľadávam všetky stránky v kategórii
issue_validating_session_message|There was in issue validating session. Log in again, please.|Es gab ein Problem bei der Validierung der Sitzung. Bitte loggen Sie sich erneut ein.|Vyskytol sa problém pri overovaní používateľskej relácie. Prosím, prihláste sa znova.
description_changing_information|Descriptions containing information likely to change ({count})|Beschreibungen mit Informationen, die sich ändern könnten ({count})|Popisy s informáciami, ktoré sa pravdepodobne zmenia ({count})
description_full_stop|Descriptions with full stop at the end ({count})|Beschreibungen mit Punkt am Ende ({count})|Popisy s bodkou na konci ({count})
description_capital_letter|Descriptions beginning with capital letter ({count})|Beschreibungen beginnend mit einem Großbuchstaben ({count})|Popisy začínajúce veľkým písmenom ({count})
description_too_long|Lengthy descriptions with more than 12 words ({count})|Lange Beschreibungen mit mehr als 12 Wörtern ({count})|Dlhé popisy s viac ako 12 slovami ({count})
description_first_word|Words which usually do not appear in the beginning of a description ({count})|Wörter, die üblicherweise nicht am Anfang einer Beschreibung stehen ({count})|Slová, ktoré sa zvyčajne nevyskytujú na začiatku popisu ({count})
description_opinionated|Descriptions with opinionated, biased or promotional wording ({count})|Beschreibungen mit wertender, voreingenommener oder werblicher Formulierung ({count})|Popisy s hodnotiacim, zaujatým alebo propagačným znením ({count})
row_with_error|Row {row_number}: {description}|Zeile {row_number}: {description}|Riadok {row_number}: {description}
check_desc_issues|Check these potential issues|Überprüfen Sie diese potenziellen Probleme|Skontrolujte tieto potenciálne problémy
recheck_issues_button|Recheck the errors|Überprüfen Sie die Probleme erneut|Znova skontrolovať problémy
registration_issue|You have to be registered at least for 30 days to use this tool.|Sie müssen seit mindestens 30 Tagen registriert sein, um dieses Tool nutzen zu können.|Na používanie tohto nástroja musíte byť zaregistrovaní aspoň 30 dní.
privacy_policy|Privacy policy|Datenschutzrichtlinie|Ochrana osobných údajov
file_step1|Step 1 of 4: Upload table file with descriptions|Schritt 1 von 4: Tabellle-Datei mit Beschreibungen hochladen|Krok 1 z 4: Nahrajte tabuľkový súbor s popismi
file_step1_instruction|The column with Wikipedia page names has to have a title 'Page' and description column 'Description'. The table has to be saved as a csv file with comma (,) as a delimiter and UTF-8 encoding.|Die Spalte mit Wikipedia-Seite muss 'Page' und die Spalte mit Beschreibungen 'Description' bennant sein. Die Tabelle muss als CSV-Datei gespeichert werden, wobei das Komma (,) als Trennzeichen und UTF-8 als Kodierung verwendet wird.|Stĺpec so stránkami Wikipédie musí byť pomenovaný 'Page' a stĺpec s popismi 'Description'. Tabuľka musí byť uložená ako CSV súbor, pričom ako oddeľovač musí byť použitá čiarka (,) a kódovanie musí byť nastavené na UTF-8.
maintenance_text|Maintenance: from {maintenance_date_start} {maintenance_time_start} GMT until {maintenance_date_end} {maintenance_time_end} GMT. Please finish your work before as your progress will be lost.|Wartungsarbeiten: ab {maintenance_date_start} {maintenance_time_start} GMT bis {maintenance_date_end} {maintenance_time_end} GMT. Bitte beenden Sie Ihre Arbeit vorher, da Ihr Fortschritt sonst verloren geht.|Údržba: od {maintenance_date_start} {maintenance_time_start} GMT do {maintenance_date_end} {maintenance_time_end} GMT. Prosím, ukončite svoju prácu vopred, inak stratíte vaše zmeny.
initialization_error|The app failed to initialize. Make sure you are not using VPN. Error code: REQUEST_TOKEN|Die App konnte nicht gestartet werden. Stellen Sie sicher, dass Sie kein VPN verwenden. Fehlercode: REQUEST_TOKEN|Aplikáciu sa nepodarilo spustiť. Ako ste pripojení cez VPN, vypnite ho. Kód chyby: REQUEST_TOKEN
file_upload_error|The file you uploaded does not meet the above-mentioned requirements.|Die von Ihnen hochgeladene Datei erfüllt die oben genannten Anforderungen nicht.|Súbor, ktorý ste nahrali, nespĺňa vyššie uvedené požiadavky.
